id_anggota,nama,tujuan_pinjaman,jumlah_pinjaman,tenor,cicilan,simp_wajib,simp_sukarela,simp_pensiun,simp_hari_raya,total_simpanan,rasio_simpanan,week_past_due,label_risiko
PMB-240-24-10-000095,MUNAH,WARUNGAN,12000000,50,297600,4554000,29478,566887,2696,5153061,0.4294,24,Macet
PU-240-23-05-000781,"DEDE ROHAYATI","JUAL IKAN DAN LAINNYA",7000000,50,173600,1427000,85639,297346,4097,1814082,0.2592,16,Macet
PU-240-23-06-001015,"SITI ROHIMAH JULIANTI","JUAL MAKANAN",4000000,50,99200,222000,12600,80011,2272,316883,0.0792,43,Macet
PU-240-23-08-001447,ROSNAWATI,"JUAL MAKANAN",2500000,100,37000,405000,35303,39155,2368,481826,0.1927,83,Macet
PU-240-23-09-001665,ERNAWATI,"JUAL MAKANAN",2300000,50,57040,391000,27022,81869,2280,502171,0.2183,43,Macet
PU-240-24-07-000613,"IMAS MASTURIAH","JUAL MAKANAN",3000000,50,74400,125000,41015,32072,18251,216338,0.0721,8,Diragukan
PU-240-25-04-000159,MURNAH,"JUAL MAKANAN",6000000,50,148800,593000,71819,116338,2794,783951,0.1307,25,Macet
PU-240-21-11-001413,"SITI AISYAH","JUAL SAYURAN",4000000,50,99200,375000,2300,28159,0,405459,0.1014,26,Macet
PU-240-22-12-002199,"IDA NOVIANI","JUAL MAKANAN",2500000,50,62000,47000,6828,29144,2686,85658,0.0343,29,Macet
PU-240-22-12-002264,"SARI SARTIKA","JUAL MAKANAN",3000000,50,74400,83000,65872,34629,12602,196103,0.0654,24,Macet
PU-240-23-06-000999,YANTI,"JUAL MAKANAN",1800000,50,44640,121000,39591,2096,0,162687,0.0904,26,Macet
PU-240-23-06-001136,JUMINAH,PERTANIAN,3000000,50,74400,128000,12371,33661,0,174032,0.058,6,Diragukan
PU-240-23-07-001309,KENEF,"JUAL MAKANAN",5850000,75,106080,1854000,82867,94859,13356,2045082,0.3496,44,Macet
PU-240-23-07-001310,NENENG,WARUNGAN,5850000,75,106080,12000,61779,66374,0,140153,0.024,7,Diragukan
